underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8678.19,SYN.BTC-31JAN20,1579545013855,open,0.01,642.8,0.0005,0.0265,0.00983215,57.55,0.01,0.0,BTC-31JAN20-9500-C,8652.34,16818698471,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.73,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 51.5], [0.0115, 20.0], [0.012, 1.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.98,0.015,0.009,161.0,-10.93938,0.19072,0.45428,0.00032,4.01547
8683.16,SYN.BTC-31JAN20,1579545092602,open,0.01,642.8,0.0005,0.0265,0.00994399,57.57,0.01,0.0,BTC-31JAN20-9500-C,8657.48,16818706099,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.51,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.76,0.015,0.009,161.0,-11.00901,0.1924,0.4584,0.00032,4.03904
8682.36,SYN.BTC-31JAN20,1579545176602,open,0.01,642.8,0.0005,0.0265,0.00990338,57.52,0.01,0.0,BTC-31JAN20-9500-C,8656.69,16818706099,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.55,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.8,0.015,0.009,161.0,-10.98166,0.1919,0.45719,0.00032,4.03221
8679.03,SYN.BTC-31JAN20,1579545395602,open,0.01,642.8,0.0005,0.0265,0.00981701,57.49,0.01,0.0,BTC-31JAN20-9500-C,8653.66,16818735269,"[[0.009, 59.3], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.7,0.009,59.3,0.0105,5.0,"[[0.0105, 5.0], [0.011, 51.5], [0.0115, 20.0], [0.012, 14.7], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.96,0.015,0.009,161.0,-10.93011,0.19067,0.45401,0.00032,4.0142
8682.8,SYN.BTC-31JAN20,1579545470605,open,0.01,642.8,0.0005,0.0265,0.00989036,57.48,0.01,0.0,BTC-31JAN20-9500-C,8657.46,16818742123,"[[0.009, 59.7], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.54,0.009,59.7,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.79,0.015,0.009,161.0,-10.97393,0.19183,0.4569,0.00032,4.03073
8682.95,SYN.BTC-31JAN20,1579545561693,open,0.01,642.8,0.0005,0.0265,0.00988569,57.47,0.01,0.0,BTC-31JAN20-9500-C,8657.17,16818747226,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.53,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.78,0.015,0.009,161.0,-10.97059,0.1918,0.45682,0.00032,4.0303
8683.23,SYN.BTC-31JAN20,1579545662602,open,0.01,642.8,0.0005,0.0265,0.00988349,57.46,0.01,0.0,BTC-31JAN20-9500-C,8657.83,16818754294,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.52,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.77,0.015,0.009,161.0,-10.96942,0.19181,0.4568,0.00032,4.0303
8683.69,SYN.BTC-31JAN20,1579545737953,open,0.01,642.8,0.0005,0.0265,0.00988581,57.44,0.01,0.0,BTC-31JAN20-9500-C,8658.38,16818754294,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.51,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.75,0.015,0.009,161.0,-10.9704,0.19188,0.45698,0.00032,4.03134
8682.23,SYN.BTC-31JAN20,1579545812602,open,0.01,642.8,0.0005,0.0265,0.00984766,57.43,0.01,0.0,BTC-31JAN20-9500-C,8657.08,16818754294,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.57,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.82,0.015,0.009,161.0,-10.94775,0.19134,0.45557,0.00032,4.02339
8681.64,SYN.BTC-31JAN20,1579545888000,open,0.01,642.8,0.0005,0.0265,0.00983469,57.43,0.01,0.0,BTC-31JAN20-9500-C,8656.38,16818779489,"[[0.009, 59.8], [0.0085, 39.0], [0.001, 0.2], [0.0005, 0.2]]",55.6,0.009,59.8,0.0105,5.0,"[[0.0105, 5.0], [0.011, 50.5], [0.0115, 20.0], [0.012, 2.0], [0.0125, 20.0], [0.0135, 30.0], [0.016, 1.2], [0.018, 60.0], [0.02, 0.1], [0.027, 0.1], [0.033, 0.1], [0.0335, 0.1], [0.034, 0.1], [0.035, 0.1], [0.037, 2.5], [0.045, 0.3], [0.0455, 4.8], [0.05, 15.0], [0.3, 2.0], [1.0, 0.4]]",58.85,0.015,0.009,161.0,-10.94062,0.19114,0.45505,0.00032,4.02044
