underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8983.03,BTC-26JUN20,1579545025220,open,0.13,173.9,0.0875,0.1715,0.12452664,70.85,0.13,0.0,BTC-26JUN20-8000-P,8651.75,16818701108,"[[0.12, 10.0], [0.1195, 12.2], [0.119, 9.0], [0.118, 10.0], [0.09, 1.0], [0.021, 5.0]]",68.91,0.12,10.0,0.1265,14.0,"[[0.1265, 14.0], [0.1275, 22.6], [0.1285, 10.0], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.7,0.13,0.121,1.5,-4.71411,-0.315,-17.04396,8e-05,20.96636
8986.42,BTC-26JUN20,1579545102468,open,0.13,173.9,0.0875,0.171,0.12438311,70.86,0.13,0.0,BTC-26JUN20-8000-P,8655.28,16818708649,"[[0.12, 10.0], [0.1195, 11.4], [0.119, 9.0], [0.118, 10.0], [0.09, 1.0], [0.021, 5.0]]",68.98,0.12,10.0,0.1265,14.0,"[[0.1265, 14.0], [0.127, 10.0], [0.1275, 12.6], [0.1285, 10.0], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.77,0.13,0.121,1.5,-4.71472,-0.31472,-17.03354,8e-05,20.96601
8986.02,BTC-26JUN20,1579545403570,open,0.13,173.9,0.0875,0.1715,0.12441554,70.87,0.13,0.0,BTC-26JUN20-8000-P,8656.13,16818738110,"[[0.1195, 11.6], [0.119, 10.0], [0.118, 9.0], [0.1175, 10.0], [0.09, 1.0], [0.021, 5.0]]",68.76,0.1195,11.6,0.1265,14.0,"[[0.1265, 14.0], [0.1275, 32.6], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.76,0.13,0.121,1.5,-4.71521,-0.31475,-17.035,8e-05,20.96583
8986.63,BTC-26JUN20,1579545484140,open,0.13,173.9,0.0875,0.171,0.12438727,70.87,0.13,0.0,BTC-26JUN20-8000-P,8657.32,16818743513,"[[0.1195, 11.4], [0.119, 10.0], [0.1175, 19.0], [0.09, 1.0], [0.021, 5.0]]",68.77,0.1195,11.4,0.1265,14.0,"[[0.1265, 14.0], [0.127, 10.0], [0.1275, 22.6], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.78,0.13,0.121,1.5,-4.71526,-0.3147,-17.03298,8e-05,20.96573
8989.22,BTC-26JUN20,1579545587872,open,0.13,173.9,0.0875,0.171,0.12427147,70.88,0.13,0.0,BTC-26JUN20-8000-P,8657.15,16818754722,"[[0.1195, 11.4], [0.119, 10.0], [0.1175, 19.0], [0.09, 1.0], [0.021, 5.0]]",68.83,0.1195,11.4,0.1265,14.0,"[[0.1265, 14.0], [0.1275, 22.6], [0.128, 10.0], [0.1805, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.83,0.13,0.121,1.5,-4.71556,-0.31448,-17.02474,8e-05,20.96543
8989.5,BTC-26JUN20,1579545672461,open,0.13,173.9,0.0875,0.171,0.12424393,70.87,0.13,0.0,BTC-26JUN20-8000-P,8657.95,16818760579,"[[0.1195, 11.3], [0.119, 10.0], [0.1175, 10.0], [0.117, 9.0], [0.09, 1.0], [0.021, 5.0]]",68.83,0.1195,11.3,0.1265,14.0,"[[0.1265, 14.0], [0.127, 10.0], [0.1275, 22.6], [0.1805, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.84,0.13,0.121,1.5,-4.71518,-0.31445,-17.02318,8e-05,20.96534
8989.52,BTC-26JUN20,1579545749028,open,0.13,173.9,0.0875,0.171,0.12423758,70.87,0.13,0.0,BTC-26JUN20-8000-P,8657.83,16818767672,"[[0.1195, 11.5], [0.119, 10.0], [0.118, 10.0], [0.117, 9.0], [0.09, 1.0], [0.021, 5.0]]",68.84,0.1195,11.5,0.1265,14.0,"[[0.1265, 14.0], [0.127, 10.0], [0.1275, 12.6], [0.128, 10.0], [0.1805, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.84,0.13,0.121,1.5,-4.71504,-0.31445,-17.02282,8e-05,20.96529
8987.1,BTC-26JUN20,1579545818620,open,0.13,173.9,0.0875,0.171,0.12436049,70.87,0.13,0.0,BTC-26JUN20-8000-P,8657.26,16818769495,"[[0.1195, 11.8], [0.119, 10.0], [0.118, 10.0], [0.117, 9.0], [0.09, 1.0], [0.021, 5.0]]",68.79,0.1195,11.8,0.1265,14.0,"[[0.1265, 14.0], [0.1275, 22.6], [0.128, 10.0], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.79,0.13,0.121,1.5,-4.71527,-0.31466,-17.03083,8e-05,20.96541
8985.15,BTC-26JUN20,1579545899620,open,0.13,173.9,0.0875,0.1715,0.12443709,70.86,0.13,0.0,BTC-26JUN20-8000-P,8656.41,16818780628,"[[0.119, 12.8], [0.1185, 12.8], [0.118, 10.0], [0.117, 9.0], [0.09, 1.0]]",68.53,0.119,12.8,0.1265,25.2,"[[0.1265, 25.2], [0.1275, 20.0], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",71.75,0.13,0.121,1.5,-4.71479,-0.31482,-17.03642,8e-05,20.96551
8974.25,BTC-26JUN20,1579572032660,open,0.13,181.9,0.0855,0.168,0.12182967,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8637.88,16822033982,"[[0.117, 12.6], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.51,0.117,12.6,0.1225,32.1,"[[0.1225, 32.1], [0.124, 17.0], [0.125, 11.2], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.87,0.13,0.1155,13.2,-4.63361,-0.31562,-16.91315,9e-05,20.9426
8974.27,BTC-26JUN20,1579572102144,open,0.13,181.9,0.0855,0.168,0.1218262,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8635.95,16822039055,"[[0.117, 12.5], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.51,0.117,12.5,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.125, 11.2], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.87,0.13,0.1155,13.2,-4.63356,-0.31562,-16.91291,9e-05,20.94255
8973.15,BTC-26JUN20,1579572171628,open,0.13,181.9,0.0855,0.168,0.1218796,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8636.34,16822044056,"[[0.117, 12.5], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.49,0.117,12.5,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.125, 11.2], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.85,0.13,0.1155,13.2,-4.63357,-0.31572,-16.91655,9e-05,20.94263
8972.57,BTC-26JUN20,1579572243128,open,0.13,181.9,0.0855,0.168,0.12190508,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8635.96,16822044422,"[[0.1175, 11.2], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.69,0.1175,11.2,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.1255, 12.6], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.84,0.13,0.1155,13.2,-4.63353,-0.31577,-16.9183,9e-05,20.94265
8972.64,BTC-26JUN20,1579572316642,open,0.13,181.9,0.0855,0.168,0.12189479,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8636.98,16822050268,"[[0.117, 12.6], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.48,0.117,12.6,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.125, 11.3], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.84,0.13,0.1155,13.2,-4.63335,-0.31576,-16.91771,9e-05,20.94259
8973.04,BTC-26JUN20,1579572385134,open,0.13,181.9,0.0855,0.168,0.12187425,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8637.04,16822057600,"[[0.117, 12.6], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.49,0.117,12.6,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.125, 11.3], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.85,0.13,0.1155,13.2,-4.63333,-0.31573,-16.91625,9e-05,20.94249
8973.55,BTC-26JUN20,1579572456631,open,0.13,181.9,0.0855,0.168,0.12184407,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8638.04,16822063496,"[[0.117, 12.3], [0.1165, 10.0], [0.116, 7.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.5,0.117,12.3,0.1225,32.1,"[[0.1225, 32.1], [0.124, 7.0], [0.1245, 10.0], [0.125, 11.2], [0.1815, 5.9], [0.195, 1.0], [0.1975, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.86,0.13,0.1155,13.2,-4.6332,-0.31568,-16.91418,9e-05,20.94233
8977.98,BTC-26JUN20,1579572528128,open,0.13,181.9,0.0855,0.168,0.12163433,69.58,0.1155,0.0,BTC-26JUN20-8000-P,8641.56,16822068237,"[[0.117, 11.9], [0.1165, 10.0], [0.116, 7.0], [0.114, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.59,0.117,11.9,0.122,16.0,"[[0.122, 16.0], [0.124, 17.0], [0.125, 11.2], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.74,0.13,0.1155,13.2,-4.63328,-0.3153,-16.89949,9e-05,20.94176
8978.95,BTC-26JUN20,1579572600229,open,0.13,181.9,0.0855,0.1675,0.1216031,69.59,0.1155,0.0,BTC-26JUN20-8000-P,8641.99,16822078853,"[[0.117, 11.4], [0.116, 17.0], [0.1145, 11.0], [0.09, 1.0], [0.018, 5.0]]",67.61,0.117,11.4,0.1225,27.1,"[[0.1225, 27.1], [0.124, 17.0], [0.125, 11.2], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.2185, 5.0], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.97,0.13,0.1155,13.2,-4.63369,-0.31522,-16.89675,9e-05,20.94161
8981.15,BTC-26JUN20,1579572669196,open,0.13,181.9,0.0855,0.1675,0.12158966,69.63,0.1155,0.0,BTC-26JUN20-8000-P,8644.03,16822085261,"[[0.1165, 12.6], [0.116, 17.0], [0.114, 11.0], [0.09, 1.0], [0.0175, 5.0]]",67.44,0.1165,12.6,0.122,32.1,"[[0.122, 32.1], [0.124, 17.0], [0.125, 11.2], [0.181, 5.9], [0.195, 1.0], [0.197, 1.0], [0.199, 0.5], [0.205, 0.5], [0.225, 0.6], [0.235, 0.5], [0.27, 0.1], [0.3175, 0.1]]",69.8,0.13,0.1155,13.2,-4.63639,-0.31503,-16.89319,9e-05,20.94144
