underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8815.17,BTC-27MAR20,1579545012845,open,0.02,321.0,0.008,0.048,0.02217425,76.12,0.0225,0.0,BTC-27MAR20-13000-C,8652.35,16818698126,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.9], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.44,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.94,0.0225,0.022,42.1,-5.03908,0.15091,2.06955,8e-05,8.81264
8820.12,BTC-27MAR20,1579545090384,open,0.02,321.0,0.008,0.048,0.02225144,76.13,0.0225,0.0,BTC-27MAR20-13000-C,8658.21,16818706133,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 81.1], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.37,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.87,0.0225,0.022,42.1,-5.05171,0.15134,2.07628,8e-05,8.83404
8818.17,BTC-27MAR20,1579545173966,open,0.02,321.0,0.008,0.048,0.02222094,76.13,0.0225,0.0,BTC-27MAR20-13000-C,8656.62,16818713845,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 81.1], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.4,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.9,0.0225,0.022,42.1,-5.04686,0.15117,2.07357,8e-05,8.82549
8813.57,BTC-27MAR20,1579545394801,open,0.02,321.0,0.008,0.048,0.02214788,76.12,0.0225,0.0,BTC-27MAR20-13000-C,8653.66,16818735690,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.4], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.47,0.0215,4.6,0.0225,24.0,"[[0.0225, 24.0], [0.023, 37.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.47,0.0225,0.022,42.1,-5.03515,0.15077,2.06714,8e-05,8.80514
8817.21,BTC-27MAR20,1579545469801,open,0.02,321.0,0.008,0.048,0.02219367,76.11,0.0225,0.0,BTC-27MAR20-13000-C,8657.46,16818740741,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.8], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.42,0.0215,4.6,0.0225,24.0,"[[0.0225, 24.0], [0.023, 37.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.42,0.0225,0.022,42.1,-5.04272,0.15104,2.07152,8e-05,8.8191
8818.53,BTC-27MAR20,1579545558668,open,0.02,321.0,0.008,0.048,0.02220241,76.1,0.0225,0.0,BTC-27MAR20-13000-C,8657.38,16818749618,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.8], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.4,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.9,0.0225,0.022,42.1,-5.04425,0.1511,2.0727,8e-05,8.82286
8818.02,BTC-27MAR20,1579545661801,open,0.02,321.0,0.008,0.048,0.02218893,76.1,0.0225,0.0,BTC-27MAR20-13000-C,8657.83,16818759198,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.8], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.41,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.9,0.0225,0.022,42.1,-5.04218,0.15103,2.07168,8e-05,8.81966
8818.07,BTC-27MAR20,1579545737950,open,0.02,321.0,0.008,0.048,0.02219119,76.1,0.0225,0.0,BTC-27MAR20-13000-C,8658.38,16818759198,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.8], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.4,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.9,0.0225,0.022,42.1,-5.04259,0.15104,2.0718,8e-05,8.82006
8815.71,BTC-27MAR20,1579545811801,open,0.02,321.0,0.008,0.048,0.02215788,76.1,0.0225,0.0,BTC-27MAR20-13000-C,8657.08,16818769400,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 80.5], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.44,0.0215,4.6,0.023,61.0,"[[0.023, 61.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.94,0.0225,0.022,42.1,-5.03724,0.15086,2.06872,8e-05,8.81031
8815.37,BTC-27MAR20,1579545886990,open,0.02,321.0,0.008,0.048,0.02215374,76.1,0.0225,0.0,BTC-27MAR20-13000-C,8656.46,16818780338,"[[0.0215, 4.6], [0.021, 13.0], [0.0205, 15.0], [0.02, 79.7], [0.0195, 22.0], [0.0175, 65.0], [0.0005, 5.8]]",75.45,0.0215,4.6,0.0225,39.0,"[[0.0225, 39.0], [0.023, 22.0], [0.0235, 12.1], [0.024, 0.1], [0.052, 4.2], [0.0595, 20.5]]",76.45,0.0225,0.022,42.1,-5.03662,0.15083,2.06829,8e-05,8.80898
