underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8746.67,SYN.BTC-28FEB20,1579545012845,open,0.13,223.4,0.0985,0.1535,0.12432868,59.69,0.156,0.0,BTC-28FEB20-8000-C,8652.35,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.47,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.87,,,,-7.51764,0.7112,5.42326,0.0002,9.71277
8752.05,SYN.BTC-28FEB20,1579545091391,open,0.13,223.4,0.0985,0.1535,0.12469423,59.7,0.156,0.0,BTC-28FEB20-8000-C,8658.15,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.13,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.56,,,,-7.50995,0.71227,5.43291,0.0002,9.70156
8750.37,SYN.BTC-28FEB20,1579545175980,open,0.13,223.4,0.0985,0.1535,0.12456012,59.68,0.156,0.0,BTC-28FEB20-8000-C,8656.69,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.24,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.66,,,,-7.50979,0.71198,5.43029,0.0002,9.70431
8746.3,SYN.BTC-28FEB20,1579545394892,open,0.13,223.4,0.0985,0.1535,0.12426269,59.66,0.156,0.0,BTC-28FEB20-8000-C,8653.66,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.5,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.9,,,,-7.51364,0.7112,5.42296,0.0002,9.71173
8750.0,SYN.BTC-28FEB20,1579545469892,open,0.13,223.4,0.0985,0.1535,0.12454231,59.69,0.156,0.0,BTC-28FEB20-8000-C,8657.46,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.26,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.68,,,,-7.51201,0.71189,5.42893,0.0002,9.70485
8750.78,SYN.BTC-28FEB20,1579545561690,open,0.13,223.4,0.0985,0.1535,0.1245694,59.67,0.156,0.0,BTC-28FEB20-8000-C,8657.17,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.21,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.64,,,,-7.50747,0.71209,5.43094,0.0002,9.70239
8750.66,SYN.BTC-28FEB20,1579545661892,open,0.13,223.4,0.0985,0.1535,0.12452315,59.63,0.156,0.0,BTC-28FEB20-8000-C,8657.83,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.22,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.65,,,,-7.50276,0.71214,5.43153,0.0002,9.70133
8750.89,SYN.BTC-28FEB20,1579545739892,open,0.13,223.4,0.0985,0.1535,0.12451028,59.61,0.156,0.0,BTC-28FEB20-8000-C,8658.38,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.21,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.63,,,,-7.49859,0.71224,5.43263,0.0002,9.69989
8748.9,SYN.BTC-28FEB20,1579545811892,open,0.13,223.4,0.0985,0.1535,0.12433207,59.57,0.156,0.0,BTC-28FEB20-8000-C,8657.08,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.34,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.75,,,,-7.49598,0.71193,5.42993,0.0002,9.70254
8748.38,SYN.BTC-28FEB20,1579545889892,open,0.13,223.4,0.0985,0.153,0.12425278,59.53,0.156,0.0,BTC-28FEB20-8000-C,8656.38,16818251698,"[[0.1175, 15.2], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",53.37,0.1175,15.2,0.129,16.8,"[[0.129, 16.8], [0.191, 0.1], [0.25, 10.0]]",63.78,,,,-7.49092,0.7119,5.43004,0.0002,9.70222
8730.11,SYN.BTC-28FEB20,1579572026618,open,0.13,223.4,0.095,0.149,0.12042584,57.42,0.156,0.0,BTC-28FEB20-8000-C,8637.54,16821807383,"[[0.1155, 24.7], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",52.91,0.1155,24.7,0.1245,26.3,"[[0.1245, 26.3], [0.191, 0.1], [0.25, 10.0]]",61.09,,,,-7.22246,0.71322,5.42329,0.00021,9.62308
8728.82,SYN.BTC-28FEB20,1579572097108,open,0.13,223.4,0.095,0.149,0.12038089,57.46,0.156,0.0,BTC-28FEB20-8000-C,8635.92,16821807383,"[[0.1155, 24.7], [0.09, 25.0], [0.07, 0.4], [0.064, 0.2], [0.0005, 0.5]]",52.99,0.1155,24.7,0.1245,26.3,"[[0.1245, 26.3], [0.191, 0.1], [0.25, 10.0]]",61.17,,,,-7.23071,0.71287,5.41946,0.00021,9.62713
